"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"MATH","173A","MATH-173A","Optimization Methods for Data Science I","Introduction to convexity: convex sets, convex functions; geometry of hyperplanes; support functions for convex sets; hyperplanes and support vector machines. Linear and quadratic programming: optimality conditions; duality; primal and dual forms of linear support vector machines; active-set methods; interior methods. Students may not receive credit for both DSC 123A and MATH 173A.","(MATH 20C or MATH 31BH), (MATH 18 or MATH 31AH)"
"MATH","173B","MATH-173B","Optimization Methods for Data Science II","Unconstrained optimization: linear least squares; randomized linear least squares; method(s) of steepest descent; line-search methods; conjugate-gradient method; comparing the efficiency of methods; randomized/stochastic methods; nonlinear least squares; norm minimization methods. Convex constrained optimization: optimality conditions; convex programming; Lagrangian relaxation; the method of multipliers; the alternating direction method of multipliers; minimizing combinations of norms. Students may not receive credit for both DSC 123B and MATH 173B.","DSC 123A or MATH 173A"
"MATH","174","MATH-174","Numerical Methods for Physical Modeling","(Conjoined with MATH 274.) Floating point arithmetic, direct and iterative solution of linear equations, iterative solution of nonlinear equations, optimization, approximation theory, interpolation, quadrature, numerical methods for initial and boundary value problems in ordinary differential equations. (Students may not receive credit for both MATH 174 and PHYS 105, AMES 153 or 154. Students may not receive credit for MATH 174 if MATH 170A, B, or C has already been taken.) Graduate students will do an extra assignment/exam.","(MATH 20D or MATH 21D), (MATH 20F or MATH 31AH)"
"MATH","175","MATH-175","Numerical Methods for Partial Differential Equations","(Conjoined with MATH 275.) Mathematical background for working with partial differential equations. Survey of finite difference, finite element, and other numerical methods for the solution of elliptic, parabolic, and hyperbolic partial differential equations. (Formerly MATH 172. Students may not receive credit for MATH 175/275 and MATH 172.) Graduate students do an extra paper, project, or presentation, per instructor.","MATH 174 or MATH 274"
"MATH","179","MATH-179","Projects in Computational and Applied Mathematics","(Conjoined with MATH 279.) Mathematical models of physical systems arising in science and engineering, good models and well-posedness, numerical and other approximation techniques, solution algorithms for linear and nonlinear approximation problems, scientific visualizations, scientific software design and engineering, project-oriented. Graduate students will do an extra paper, project, or presentation per instructor.","MATH 174 or MATH 274"
"MATH","180A","MATH-180A","Introduction to Probability","Probability spaces, random variables, independence, conditional probability, distribution, expectation, variance, joint distributions, central limit theorem. (Two units of credit offered for MATH 180A if ECON 120A previously, no credit offered if ECON 120A concurrently. Two units of credit offered for MATH 180A if MATH 183 or 186 taken previously or concurrently.) Prior or concurrent enrollment in MATH 109 is highly recommended.","MATH 20C or MATH 31BH"
"MATH","180B","MATH-180B","Introduction to Stochastic Processes I","Random vectors, multivariate densities, covariance matrix, multivariate normal distribution. Random walk, Poisson process. Other topics if time permits.","MATH 20D, (MATH 18 or MATH 20F or MATH 31AH), (MATH 109 or MATH 31CH), MATH 180A"
"MATH","180C","MATH-180C","Introduction to Stochastic Processes II","Markov chains in discrete and continuous time, random walk, recurrent events. If time permits, topics chosen from stationary normal processes, branching processes, queuing theory.","MATH 180B"
"MATH","181A","MATH-181A","Introduction to Mathematical Statistics I","Multivariate distribution, functions of random variables, distributions related to normal. Parameter estimation, method of moments, maximum likelihood. Estimator accuracy and confidence intervals. Hypothesis testing, type I and type II errors, power, one-sample t-test. Prior or concurrent enrollment in MATH 109 is highly recommended.","MATH 180A, (MATH 18 or MATH 20F or MATH 31AH), MATH 20C"
"MATH","181B","MATH-181B","Introduction to Mathematical Statistics II","Hypothesis testing. Linear models, regression, and analysis of variance. Goodness of fit tests. Nonparametric statistics. Two units of credit offered for MATH 181B if ECON 120B previously; no credit offered if ECON 120B concurrently. Prior enrollment in MATH 109 is highly recommended.","MATH 181A"
"MATH","181C","MATH-181C","Mathematical Statistics—Nonparametric Statistics","Topics covered may include the following: classical rank test, rank correlations, permutation tests, distribution free testing, efficiency, confidence intervals, nonparametric regression and density estimation, resampling techniques (bootstrap, jackknife, etc.) and cross validations. Prior enrollment in MATH 109 is highly recommended.","MATH 181B"
"MATH","181D","MATH-181D","Statistical Learning","Statistical learning refers to a set of tools for modeling and understanding complex data sets. It uses developments in optimization, computer science, and in particular machine learning. This encompasses many methods such as dimensionality reduction, sparse representations, variable selection, classification, boosting, bagging, support vector machines, and machine learning.","ECE 109 or ECON 120A or MAE 108 or MATH 181A or MATH 183 or MATH 186 or MATH 189"
"MATH","181E","MATH-181E","Mathematical Statistics—Time Series","Analysis of trends and seasonal effects, autoregressive and moving averages models, forecasting, informal introduction to spectral analysis.","MATH 181B"
"MATH","181F","MATH-181F","Sampling Surveys and Experimental Design","Design of sampling surveys: simple, stratified, systematic, cluster, network surveys. Sources of bias in surveys. Estimators and confidence intervals based on unequal probability sampling. Design and analysis of experiments: block, factorial, crossover, matched-pairs designs. Analysis of variance, re-randomization, and multiple comparisons.","ECE 109 or ECON 120A or MAE 108 or MATH 11 or MATH 181A or MATH 183 or MATH 186 or MATH 189"
"MATH","182","MATH-182","Hidden Data in Random Matrices","Rigorous treatment of principal component analysis, one of the most effective methods in finding signals amidst the noise of large data arrays. Topics include singular value decomposition for matrices, maximal likelihood estimation, least squares methods, unbiased estimators, random matrices, Wigner’s semicircle law, Markchenko-Pastur laws, universality of eigenvalue statistics, outliers, the BBP transition, applications to community detection, and stochastic block model. Students will not receive credit for both MATH 182 and DSC 155. Completion of MATH 102 is encouraged but not required.","MATH 180A, (MATH 18 or MATH 31AH)"
